well,well found,parameter,parameter found,found under data source,found as measurement,record date,record value,timestamp match,value match,record value in hts
332010,True,Chromium Total,False,,,1991-09-20 09:21:00,0.05,,,
332010,True,Static Water Level,False,,,1991-09-20 09:21:00,0.89,,,
332010,True,Copper Total,False,,,1991-08-23 08:40:00,0.02,,,
332010,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-08-23 08:40:00,23.0,True,True,23.0
332010,True,Chromium Total,False,,,1991-08-23 08:40:00,0.05,,,
332010,True,Static Water Level,False,,,1991-08-23 08:40:00,0.6,,,
332010,True,Chromium Total,False,,,1991-07-12 08:50:00,0.05,,,
332010,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-07-12 08:50:00,31.0,True,True,31.0
332010,True,Copper Total,False,,,1991-07-12 08:50:00,0.02,,,
332010,True,Static Water Level,False,,,1991-07-12 08:50:00,1.34,,,
332010,True,Chromium Total,False,,,1991-06-28 08:42:00,0.05,,,
332010,True,Copper Total,False,,,1991-06-28 08:42:00,0.02,,,
332010,True,Static Water Level,False,,,1991-06-28 08:42:00,1.265,,,
332010,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-06-28 08:42:00,28.0,True,True,28.0
332010,True,Chromium Total,False,,,1991-06-14 08:45:00,0.05,,,
332010,True,Static Water Level,False,,,1991-06-14 08:45:00,1.342,,,
332031,True,Static Water Level,False,,,1997-12-12 13:15:00,2.085,,,
332031,True,Copper Total,False,,,1997-11-07 10:00:00,0.02,,,
332031,True,Chromium Total,False,,,1997-11-07 10:00:00,0.05,,,
332031,True,Static Water Level,False,,,1997-11-07 10:00:00,1.88,,,
332031,True,Static Water Level,False,,,1997-10-10 12:30:00,2.0,,,
332031,True,Chromium Total,False,,,1997-10-10 12:30:00,0.05,,,
332031,True,Copper Total,False,,,1997-10-10 12:30:00,0.02,,,
332031,True,Chromium Total,False,,,1997-09-12 09:55:00,0.05,,,
332031,True,Static Water Level,False,,,1997-09-12 09:55:00,2.09,,,
332031,True,Copper Total,False,,,1997-09-12 09:55:00,0.02,,,
332031,True,Copper Total,False,,,1997-08-08 13:40:00,0.03,,,
324000,True,Conductivity at 25degC,True,Conductivity (HRC),Item2 [Conductivity (HRC)],1996-10-16 12:15:00,106.2,True,True,106.2
324002,True,Conductivity at 25degC,True,Conductivity (HRC),Item2 [Conductivity (HRC)],1996-10-16 12:45:00,71.1,True,True,71.1
325261,True,Faecal Coliforms,True,Faecal coliforms by MPN (HRC),Item2 [Faecal coliforms by MPN (HRC)],1999-11-24 08:00:00,54.0,True,True,54.0
325261,True,Conductivity at 25degC,True,Conductivity (HRC),Item2 [Conductivity (HRC)],1999-11-24 08:00:00,42.8,True,True,42.8
325261,True,Enterococci,True,Enterococci (HRC),Sampling Frequency (Enterococci) [Enterococci (HRC)],1997-08-04 13:30:00,2.0,True,False,0.0
325261,True,Conductivity at 25degC,True,Conductivity (HRC),Item2 [Conductivity (HRC)],1996-10-16 13:15:00,58.9,True,True,58.9
323206,True,Conductivity at 25degC,True,Conductivity (HRC),Item2 [Conductivity (HRC)],1996-10-23 08:25:00,41.6,True,True,41.6
323118,True,Conductivity at 25degC,True,Conductivity (HRC),Item2 [Conductivity (HRC)],1996-10-23 00:00:00,98.0,True,True,98.0
323059,True,Conductivity at 25degC,True,Conductivity (HRC),Item2 [Conductivity (HRC)],1996-10-23 00:00:00,49.1,True,True,49.1
348016,True,Conductivity at 25degC,True,Conductivity (HRC),Item2 [Conductivity (HRC)],1996-11-26 11:40:00,35.3,True,True,35.3
348016,True,Manganese,True,Total Manganese (HRC),Item2 [Total Manganese (HRC)],1996-10-31 09:55:00,0.02,True,,
348016,True,Chloride,True,Chloride (HRC),Item2 [Chloride (HRC)],1996-10-31 09:55:00,45.0,True,True,45.0
348016,True,Enterococci,True,Enterococci (HRC),Sampling Frequency (Enterococci) [Enterococci (HRC)],1996-10-31 09:55:00,2.0,True,False,0.0
348016,True,Hardness Calcium,False,,,1996-10-31 09:55:00,41.0,,,
348016,True,Hardness Magnesium,False,,,1996-10-31 09:55:00,37.0,,,
348016,True,Hardness Total,False,,,1996-10-31 09:55:00,78.0,,,
348016,True,Ammoniacal Nitrogen,False,,,1996-10-31 09:55:00,0.05,,,
348016,True,Nitrite,True,Nitrite (HRC),Item2 [Nitrite (HRC)],1996-10-31 09:55:00,0.001,True,,
348016,True,Iron Total,False,,,1996-10-31 09:55:00,0.04,,,
348016,True,Potassium,True,Dissolved Potassium (HRC),Item2 [Dissolved Potassium (HRC)],1996-10-31 09:55:00,6.1,True,True,6.1
348016,True,Sodium,True,Dissolved Sodium (HRC),Item2,1996-10-31 09:55:00,34.0,True,True,34.0
348016,True,Total Alkalinity,True,Total Alkalinity (HRC),Item2 [Total Alkalinity (HRC)],1996-10-31 09:55:00,20.0,True,True,20.0
348016,True,Carbon Dioxide,True,Free Carbon Dioxide (HRC),Item2 [Free Carbon Dioxide (HRC)],1996-10-31 09:55:00,100.0,True,True,100.0
348016,True,Conductivity at 25degC,True,Conductivity (HRC),Item2 [Conductivity (HRC)],1996-10-31 09:55:00,37.4,True,True,37.4
348016,True,Dissolved Reactive Phosphorus,False,,,1996-10-31 09:55:00,0.02,,,
348016,True,pH,True,pH (HRC),Item2 [pH (HRC)],1996-10-31 09:55:00,5.6,True,True,5.6
348016,True,Silica,False,,,1996-10-31 09:55:00,19.0,,,
348016,True,Turbidity,True,Turbidity EPA (HRC),Item2 [Turbidity EPA (HRC)],1996-10-31 09:55:00,0.15,True,True,0.15
329032,True,Conductivity at 25degC,True,Conductivity (HRC),Item2 [Conductivity (HRC)],1996-11-26 09:10:00,29.0,True,True,29.0
348130,True,Conductivity at 25degC,True,Conductivity (HRC),Item2 [Conductivity (HRC)],1996-11-26 12:20:00,55.3,True,True,55.3
337057,True,Conductivity at 25degC,True,Conductivity (HRC),Item2 [Conductivity (HRC)],1996-11-26 13:05:00,14.2,True,True,14.2
209005,True,Temperature,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],2010-11-22 10:00:00,14.3,True,True,14.3
209005,True,pH,True,Field pH (HRC),Item2 [Field pH (HRC)],2010-11-22 10:00:00,7.11,True,True,7.11
209005,True,Barometric Pressure,False,,,2010-11-15 10:10:00,1011.8,,,
209005,True,pH,True,Field pH (HRC),Item2 [Field pH (HRC)],2010-11-15 10:10:00,7.7,True,True,7.7
