well,well found,parameter,parameter found,found under data source,found as measurement,record date,record value,timestamp match,value match,record value in hts
323007,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],23/03/2006 0:00,14.8,FALSE,,
323007,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],5/12/2006 0:00,14.6,FALSE,,
323017,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1/05/2006 0:00,18.2,FALSE,,
323019,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1/05/2006 0:00,13.9,FALSE,,
323021,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],5/04/2006 0:00,15.2,FALSE,,
323025,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],16/05/2006 0:00,12.1,FALSE,,
323027,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],31/03/2006 0:00,13.5,FALSE,,
323029,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],30/03/2006 0:00,14.6,FALSE,,
323031,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],31/03/2006 0:00,16.5,FALSE,,
323045,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],13/04/2006 0:00,15.2,FALSE,,
323051,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1/05/2006 0:00,13.3,FALSE,,
323055,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],5/04/2006 0:00,17.4,FALSE,,
323062,FALSE,Temp,,,,4/12/1979 0:00,13.9,,,
323064,FALSE,Temp,,,,4/12/1979 0:00,13.2,,,
323069,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1/05/2006 0:00,17.1,FALSE,,
323071,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],31/03/2006 0:00,13.3,FALSE,,
323073,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],30/03/2006 0:00,15.6,FALSE,,
323075,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],5/04/2006 0:00,18.2,FALSE,,
323085,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],7/04/2006 0:00,18,FALSE,,
323087,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],16/05/2006 0:00,15.3,FALSE,,
323092,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],30/03/2006 0:00,14.1,FALSE,,
323102,FALSE,Temp,,,,4/12/1979 0:00,15.2,,,
323108,FALSE,Temp,,,,4/12/1979 0:00,13.9,,,
323160,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1/05/2006 0:00,17.1,FALSE,,
323166,FALSE,Temp,,,,5/12/1979 0:00,14.1,,,
323178,FALSE,Temp,,,,1/10/1975 0:00,14,,,
323192,FALSE,Temp,,,,4/12/1979 0:00,14.3,,,
323204,FALSE,Temp,,,,5/12/1979 0:00,12.6,,,
323256,FALSE,Temp,,,,16/01/1975 0:00,16.2,,,
324011,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],15/05/2006 0:00,13,FALSE,,
324013,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],13/04/2006 0:00,15.7,FALSE,,
324035,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],11/04/2006 0:00,15.9,FALSE,,
324041,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],17/05/2006 0:00,13.6,FALSE,,
324047,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],11/04/2006 0:00,16.2,FALSE,,
324049,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],11/04/2006 0:00,15.3,FALSE,,
324053,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],28/04/2006 0:00,14.6,FALSE,,
324057,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],28/03/2006 0:00,15,FALSE,,
324063,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],7/04/2006 0:00,16.1,FALSE,,
324067,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],12/04/2006 0:00,14.6,FALSE,,
324071,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],24/03/2006 0:00,14.4,FALSE,,
324073,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1/05/2006 0:00,16.7,FALSE,,
324076,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],11/04/2006 0:00,14.8,FALSE,,
325193,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],15/08/2002 0:00,23.8,FALSE,,
327037,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],6/12/2006 0:00,14.7,FALSE,,
