DataFile,BaseURL,Site,Measurement,RequestAs,StartDate,URL
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Koputaroa at Koputaroa Gates,RL Section,RL Section,,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Koputaroa%20at%20Koputaroa%20Gates&ObservedProperty=RL%20Section
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Koputaroa at Tavistock Rd,Stage,Stage,"om:phenomenonTime,1974-01-11T12:00:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Koputaroa%20at%20Tavistock%20Rd&ObservedProperty=Stage&TemporalFilter=om%3AphenomenonTime%2C1974-01-11T12%3A00%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Koputaroa at Tavistock Rd,Flow,Flow [Flow],"om:phenomenonTime,1974-01-11T12:00:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Koputaroa%20at%20Tavistock%20Rd&ObservedProperty=Flow%20%5BFlow%5D&TemporalFilter=om%3AphenomenonTime%2C1974-01-11T12%3A00%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Koputaroa at Tavistock Rd,30.44 Days Maxima,30.44 Days Maxima,"om:phenomenonTime,1974-02-28T23:14:36",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Koputaroa%20at%20Tavistock%20Rd&ObservedProperty=30.44%20Days%20Maxima&TemporalFilter=om%3AphenomenonTime%2C1974-02-28T23%3A14%3A36
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Koputaroa at Tavistock Rd,RL Section,RL Section,,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Koputaroa%20at%20Tavistock%20Rd&ObservedProperty=RL%20Section
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Linton Drain at Tane Road,Stage,Stage,"om:phenomenonTime,2009-08-14T17:40:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Linton%20Drain%20at%20Tane%20Road&ObservedProperty=Stage&TemporalFilter=om%3AphenomenonTime%2C2009-08-14T17%3A40%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Linton Drain at Tane Road,Flow,Flow [Flow],"om:phenomenonTime,2009-08-14T17:40:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Linton%20Drain%20at%20Tane%20Road&ObservedProperty=Flow%20%5BFlow%5D&TemporalFilter=om%3AphenomenonTime%2C2009-08-14T17%3A40%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Linton Drain at Tane Road,30.44 Days Maxima,30.44 Days Maxima,"om:phenomenonTime,2009-10-01T00:00:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Linton%20Drain%20at%20Tane%20Road&ObservedProperty=30.44%20Days%20Maxima&TemporalFilter=om%3AphenomenonTime%2C2009-10-01T00%3A00%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Linton Drain at Tane Road,RL Section,RL Section,,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Linton%20Drain%20at%20Tane%20Road&ObservedProperty=RL%20Section
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Main Drain at Lynchs Bridge,Stage,Stage,"om:phenomenonTime,2009-06-12T13:00:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Main%20Drain%20at%20Lynchs%20Bridge&ObservedProperty=Stage&TemporalFilter=om%3AphenomenonTime%2C2009-06-12T13%3A00%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Main Drain at Lynchs Bridge,RL Section,RL Section,,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Main%20Drain%20at%20Lynchs%20Bridge&ObservedProperty=RL%20Section
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Main Drain at Rangiotu Gates,Stage,Stage,"om:phenomenonTime,2018-07-23T15:45:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Main%20Drain%20at%20Rangiotu%20Gates&ObservedProperty=Stage&TemporalFilter=om%3AphenomenonTime%2C2018-07-23T15%3A45%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Main Drain at Rangiotu Gates,RL Section,RL Section,,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Main%20Drain%20at%20Rangiotu%20Gates&ObservedProperty=RL%20Section
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Makino Floodway at Gate 2,Stage,Stage,"om:phenomenonTime,2022-06-16T13:40:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Makino%20Floodway%20at%20Gate%202&ObservedProperty=Stage&TemporalFilter=om%3AphenomenonTime%2C2022-06-16T13%3A40%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Makino Floodway at Gate 2,Rainfall,Rainfall,"om:phenomenonTime,2022-06-16T13:36:59",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Makino%20Floodway%20at%20Gate%202&ObservedProperty=Rainfall&TemporalFilter=om%3AphenomenonTime%2C2022-06-16T13%3A36%3A59
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Makino Floodway at Gate 2,RL Section,RL Section,,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Makino%20Floodway%20at%20Gate%202&ObservedProperty=RL%20Section
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Makino at Boness Road,Stage,Stage,"om:phenomenonTime,1991-12-19T14:00:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Makino%20at%20Boness%20Road&ObservedProperty=Stage&TemporalFilter=om%3AphenomenonTime%2C1991-12-19T14%3A00%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Makino at Boness Road,Flow,Flow [Flow],"om:phenomenonTime,1991-12-19T14:00:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Makino%20at%20Boness%20Road&ObservedProperty=Flow%20%5BFlow%5D&TemporalFilter=om%3AphenomenonTime%2C1991-12-19T14%3A00%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Makino at Boness Road,30.44 Days Maxima,30.44 Days Maxima,"om:phenomenonTime,1992-01-29T12:30:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Makino%20at%20Boness%20Road&ObservedProperty=30.44%20Days%20Maxima&TemporalFilter=om%3AphenomenonTime%2C1992-01-29T12%3A30%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Makino at Boness Road,RL Section,RL Section,,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Makino%20at%20Boness%20Road&ObservedProperty=RL%20Section
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Makino at Cheltenham,Rainfall,Rainfall [Rainfall],"om:phenomenonTime,1989-12-20T10:12:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Makino%20at%20Cheltenham&ObservedProperty=Rainfall%20%5BRainfall%5D&TemporalFilter=om%3AphenomenonTime%2C1989-12-20T10%3A12%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Makino at Cheltenham,Rainfall,Rainfall [Rainfall],"om:phenomenonTime,1989-12-20T10:12:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Makino%20at%20Cheltenham&ObservedProperty=Rainfall%20%5BRainfall%5D&TemporalFilter=om%3AphenomenonTime%2C1989-12-20T10%3A12%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Makino at Cheltenham,RL Section,RL Section,,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Makino%20at%20Cheltenham&ObservedProperty=RL%20Section
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Makino at Duke St,Stage,Stage,"om:phenomenonTime,2019-08-29T14:15:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Makino%20at%20Duke%20St&ObservedProperty=Stage&TemporalFilter=om%3AphenomenonTime%2C2019-08-29T14%3A15%3A00
